LONGITUDE,LATITUDE,YEAR,MONTH,DAY,MAGNITUDE,DEPTH,HOUR,MINUTE
94.4715,22.7996,2023,7,24,4.4,96.712,20,14
94.971,25.1395,2023,7,21,4,87.809,20,5
91.3553,25.721,2023,7,16,4.3,10,14,23
95.4345,25.0831,2023,7,12,4.3,9.904,12,26
94.0927,23.1582,2023,7,11,4.3,77.822,14,6
93.9241,23.5846,2023,7,5,4.3,69.187,19,5
96.3583,26.5274,2023,7,4,4.6,89.642,7,25
96.6035,26.9851,2023,6,30,4.4,10,5,44
92.0224,24.7339,2023,6,16,5,10,4,46
95.2775,26.1093,2023,6,12,4.3,77.469,21,23
96.2529,25.2464,2023,6,3,4.1,10,11,36
95.1588,26.0736,2023,6,1,4.2,31.912,3,30
96.2315,25.1051,2023,5,31,5.9,10,11,20
92.4485,26.7587,2023,5,29,4.9,10,2,33
92.6797,27.0688,2023,5,27,4.5,10,21,36
94.7301,24.8062,2023,5,21,4.1,83.027,13,47
90.3099,23.6937,2023,5,4,4.3,10,23,57
94.3511,23.0061,2023,4,30,4.6,94.415,6,56
94.8376,22.9943,2023,4,10,4.6,141.241,0,46
96.2774,25.2055,2023,4,8,4.2,10,11,52
90.446,25.8896,2023,4,3,4.4,10,8,22
95.3355,22.6542,2023,3,25,4.2,11.095,12,3
93.794,24.1675,2023,3,24,4.4,78.995,3,22
94.7151,24.276,2023,3,12,4.6,113.11,11,43
90.4081,25.6554,2023,2,26,4.3,10,4,19
91.8394,25.1917,2023,2,16,4.3,57.099,3,56
94.5227,23.0353,2023,2,12,4.3,104.754,23,1
92.9259,26.3749,2023,2,12,4.2,10,10,48
95.9238,22.7357,2023,2,4,4.2,10,7,34
94.459,24.5866,2023,1,31,4.6,69.006,4,49
90.4362,25.7328,2023,1,26,4,36.679,1,59
93.079,24.8836,2023,1,23,5.1,10,13,42
92.4156,23.5913,2023,1,16,4.1,10,20,20
96.5576,26.705,2023,1,10,4.6,10,1,42
95.8673,24.1249,2023,1,5,4.5,10.751,5,51
94.14,23.2161,2022,12,28,4.5,51.119,4,18
96.154,24.5341,2022,12,20,4.3,10.157,21,21
93.7959,22.5559,2022,12,18,4.2,39.483,7,20
94.7294,24.2087,2022,12,17,4.2,98.089,16,5
95.0837,24.8414,2022,12,15,4.4,101.752,17,12
95.3931,26.0254,2022,12,9,4.5,99.202,15,40
94.1073,23.0257,2022,11,11,4.2,42.858,1,32
94.5122,23.0649,2022,11,8,4.7,105.393,6,27
96.5205,26.6099,2022,10,31,4.6,10,0,45
92.205,25.1215,2022,10,30,4.2,10,14,45
94.4944,23.7023,2022,10,29,4.4,96.454,5,38
94.6086,24.1894,2022,10,21,4.5,89.761,16,0
95.9272,22.8755,2022,10,16,4.6,10,0,52
94.9256,24.7823,2022,9,30,4.6,10,2,23
94.8968,23.1002,2022,9,29,5.6,150,22,22
96.6018,26.368,2022,9,17,4.3,122.703,23,33
96.133,26.6232,2022,9,13,4.4,10,21,35
93.8588,23.4002,2022,9,6,4.2,60.682,19,20
95.2338,25.0099,2022,8,26,4.6,91.384,4,52
94.5482,23.7516,2022,8,24,5,96.15,21,48
93.2709,23.5693,2022,7,26,4.6,42.7,15,13
94.5663,23.559,2022,7,19,4.3,110.324,21,38
94.4481,24.1883,2022,7,16,4.5,76.459,18,12
95.3111,23.0067,2022,7,15,4.4,10.197,23,48
94.5018,23.2297,2022,6,29,4.6,95.51,18,1
94.531,22.9945,2022,6,13,4.3,100.41,15,44
95.957,23.2613,2022,6,2,4.2,10,22,40
95.6051,26.3635,2022,5,31,4.3,95.69,4,39
94.0827,22.7741,2022,5,23,4.4,13.98,3,56
93.4891,22.8336,2022,5,21,4.5,47.2,3,14
96.3401,25.0186,2022,5,20,4.3,10,18,39
92.3725,26.3342,2022,5,15,4.1,10,16,17
96.717,25.6457,2022,5,13,4.3,10,12,26
94.2561,22.6784,2022,5,1,5,90.81,15,15
94.7118,23.3586,2022,4,18,4.1,111.13,2,57
95.9133,25.9974,2022,4,17,4.3,79.64,22,31
94.8228,25.3875,2022,4,16,4.1,74.41,23,51
94.1874,23.1411,2022,3,31,4,47.16,1,18
94.4865,24.1944,2022,3,21,4.5,82.38,6,36
93.6502,24.8691,2022,3,18,4.4,40.97,5,40
93.9006,23.2811,2022,3,15,4.1,10,0,25
94.5412,22.7307,2022,3,13,4.5,101.22,1,11
93.3976,22.6801,2022,2,21,4.6,48.71,15,23
96.4951,26.0883,2022,2,11,4.8,10,19,16
96.1665,25.0405,2022,1,23,4.4,10,15,52
94.2434,23.1302,2022,1,22,4.1,76.07,17,22
93.8172,23.0871,2022,1,21,5.4,58.96,10,12
93.5196,24.0361,2022,1,18,4.5,60.79,2,22
93.8695,25.2468,2022,1,16,4.6,10,21,9
94.5597,23.8937,2022,1,16,4.2,73.01,10,50
94.6403,24.3313,2022,1,14,4.2,89.01,8,29
95.0765,25.0326,2022,1,13,4.1,94.89,19,3
94.1077,25.22,2022,1,12,4.5,13.28,20,46
