 EVENT_ID,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,STRIKE,DIP  ,RAKE   ,STRIKE,DIP  ,RAKE   ,MAGNITUDE
618656289,05-07-2020,56:34.0,23.12,93.25,22.6,5,75,178,96,88,15,4.7
618700885,28-07-2020,38:50.3,23.1,93.36,20,16,87,-175,285,85,-3,4.7
621083133,19-09-2021,24:05.1,25.17,95,58.8,60,72,-57,175,37,-150,4.7
624729387,24-08-2022,48:18.9,23.8891,94.608,76,51.1,44.22,139.22,172.82,62.9,53.61,4.7
7416739,08-10-2004,48:08.4,24.34,94.35,77.5,139,46,147,252,67,48,4.8
14320681,20-02-2010,07:29.3,23.14,94.63,104.8,83,49,112,231,46,67,4.8
606595857,24-01-2015,11:43.3,25.01,95.21,113.7,138,61,138,251,54,36,4.8
611987258,05-06-2018,33:55.7,24.46,95.17,128.6,125,59,126,250,46,45,4.8
624729387,24-08-2022,48:12.2,23.73,94.47,89,201,76,138,303,49,19,4.8
7484137,23-03-2005,59:10.6,26.17,95.43,79,132,42,177,225,88,48,4.9
10595959,02-03-2006,17:02.1,24.22,94.42,69.3,159,85,160,251,70,5,4.9
8943473,10-11-2006,21:28.4,24.61,92.61,31.8,141,46,154,249,72,47,4.9
11103511,07-07-2008,50:39.2,25.95,95.34,70,137,45,135,262,60,55,4.9
603302210,02-08-2013,04:32.6,23.74,94.82,92.9,111,68,119,235,36,40,4.9
605149233,16-08-2014,39:57.6,24.66,94.76,94,141,61,155,243,69,32,4.9
619543592,14-11-2020,50:28.5,23.5,94.72,100.3,149,62,141,260,56,34,4.9
620846041,26-07-2021,03:34.3,24.58,94.56,47.2,174,88,143,265,53,3,4.9
626741590,09-09-2023,18:33.9,24.65,92.84,38.9,134,50,127,264,52,54,4.9
635736306,02-10-2023,45:19.9,25.81,90.74,23.5,108,52,106,262,41,70,4.9
661737,13-07-1979,20:15.0,25.13,95.59,117.1,44,28,99,215,62,85,5.0
428917,13-08-1988,59:52.7,24.94,95.24,126,152,58,104,307,35,69,5.0
1455274,22-02-1999,37:53.3,23.15,93.99,51,47,35,-103,242,56,-81,5.0
1970185,12-08-2001,58:00.9,24.43,94.99,142,155,61,119,285,40,48,5.0
7472245,15-02-2005,15:13.7,24.52,92.61,27.2,52,86,-38,145,52,-174,5.0
10699863,12-08-2006,46:12.5,24.59,92.86,32.7,156,73,149,255,61,20,5.0
12649848,07-05-2007,58:36.7,23.02,94.58,97.3,134,77,159,229,69,13,5.0
13284353,07-12-2007,56:33.0,23.46,94.66,108.7,135,42,120,277,54,65,5.0
606724966,12-02-2015,33:10.3,23.97,93.93,96.4,78,84,-15,170,75,-174,5.0
609375525,23-08-2016,11:12.9,23.8996,94.7066,84,133.57,57.06,156.89,236.63,70.77,35.16,5.0
611831465,03-01-2017,49:56.1,23.29,94.56,96.6,37,88,-31,128,59,-178,5.0
610240619,24-02-2017,02:52.7,24.01,93.52,88.2,75,64,26,333,67,152,5.0
611831957,04-03-2017,11:53.9,25.16,94.76,97.9,74,74,2,343,88,164,5.0
618557665,21-06-2020,46:29.0,23.89,93.23,33.8,143,80,156,237,67,11,5.0
620757423,07-07-2021,15:24.9,25.937,90.253,32,106.85,44.45,95.24,279.53,45.78,84.88,5.0
620757423,07-07-2021,15:29.6,25.86,90.57,29.9,91,40,83,280,50,96,5.0
686917,23-02-1978,18:37.0,23.16,94.93,122.2,201,69,113,331,31,44,5.1
301302,25-03-1992,32:34.2,24.18,95.2,119.7,143,70,113,272,30,43,5.1
236767,01-04-1993,30:11.2,23.55,94,107,1,83,-46,99,44,-169,5.1
